"NAME20"
"1B"
"1C"
"28"
"29"
"2A"
"2D"
"30"
"31"
"32"
"33"
"34"
"35"
"36"
"37"
"3A"
"3D"
"3F"
"4A"
"4B"
"4C"
"4D"
"AKRON 1 M"
"AKRON 10 L"
"AKRON 10 M"
"AKRON 2 K"
"AKRON 2 L"
"AKRON 2 M"
"E LIVERPOOL 2 B"
"E PALESTINE VIL 1 A"
"E PALESTINE VIL 2 A"
"E PALESTINE VIL 3 A"
"E PALESTINE VIL 4 A"
"EDEN"
"EDEN FALLSBURY"
"ELKRUN ELKTON"
"ELKRUN SIGNAL"
"ELLSWORTH 1"
"ELLSWORTH 2"
"EMPIRE"
"EUCLID 1 E"
"EUCLID 3 E"
"EUCLID 4 E"
"EUCLID 5 E"
"EUCLID 6 E"
"EUCLID 7 E"
"EUCLID 8 E"
"FAIRFIELD PT1 WD1"
"FAIRFIELD PT1 WD2"
"FAIRFIELD PT1 WD3"
"FAIRFIELD PT1 WD4"
"FAIRFIELD PT10 WD3"
"FAIRFIELD PT10 WD4"
"FAIRFIELD PT11 WD3"
"FAIRFIELD PT2 WD1"
"FAIRFIELD PT2 WD2"
"FAIRFIELD PT2 WD3"
"FAIRFIELD PT2 WD4"
"FAIRFIELD PT3 WD1"
"FAIRFIELD PT3 WD2"
"FAIRFIELD PT3 WD3"
"FAIRFIELD PT3 WD4"
"FAIRFIELD PT4 WD1"
"FAIRFIELD PT4 WD2"
"FAIRFIELD PT4 WD3"
"FAIRFIELD PT4 WD4"
"FAIRFIELD PT5 WD1"
"FAIRFIELD PT5 WD2"
"FAIRFIELD PT5 WD3"
"FAIRFIELD PT5 WD4"
"FAIRFIELD PT6 WD1"
"FAIRFIELD PT6 WD2"
"FAIRFIELD PT6 WD3"
"FAIRFIELD PT6 WD4"
"FAIRFIELD PT7 WD1"
"FAIRFIELD PT7 WD2"
"FAIRFIELD PT7 WD3"
"FAIRFIELD PT7 WD4"
"FAIRFIELD PT8 WD1"
"FAIRFIELD PT8 WD2"
"FAIRFIELD PT8 WD3"
"FAIRFIELD PT8 WD4"
"FAIRFIELD PT9 WD1"
"FAIRFIELD PT9 WD3"
"FAIRFIELD PT9 WD4"
"FAIRFIELD SE"
"FAIRFIELD WEST"
"FAIRVIEW PARK 3 C"
"FLORENCE 1"
"FLORENCE 2"
"FOSTORIA NORTH"
"FOSTORIA SOUTH"
"FREEDOM PEMBERVILLE"
"GARFIELD HEIGHTS 2 C"
"GOSHEN 1"
"GOSHEN 3"
"GOSHEN ROSWELL"
"GRAND PRAIRIE A"
"GRAND PRAIRIE B"
"GRAND PRAIRIE C"
"GRAND RAPIDS GR"
"GRANVILLE VLG A"
"GRANVILLE VLG B"
"GRANVILLE VLG C"
"GREEN 3"
"GROTON"
"GROVE 1 G"
"GROVE 2 G"
"GROVE 3 G"
"GROVE 3 H"
"GROVE 4 G"
"HAMILTON PT1 WD1"
"HAMILTON PT1 WD2"
"HAMILTON PT1 WD3"
"HAMILTON PT1 WD4"
"HAMILTON PT1 WD5"
"HAMILTON PT1 WD6"
"HAMILTON PT10 WD1"
"HAMILTON PT11 WD1"
"HAMILTON PT12 WD1"
"HAMILTON PT13 WD1"
"HAMILTON PT14 WD1"
"HAMILTON PT15 WD1"
"HAMILTON PT16 WD1"
"HAMILTON PT17 WD1"
"HAMILTON PT18 WD1"
"HAMILTON PT19 WD1"
"HAMILTON PT2 WD1"
"HAMILTON PT2 WD2"
"HAMILTON PT2 WD3"
"HAMILTON PT2 WD4"
"HAMILTON PT2 WD5"
"HAMILTON PT2 WD6"
"HAMILTON PT20 WD1"
"HAMILTON PT21 WD1"
"HAMILTON PT22 WD1"
"HAMILTON PT23 WD1"
"HAMILTON PT24 WD1"
"HAMILTON PT25 WD1"
"HAMILTON PT3 WD1"
"HAMILTON PT3 WD5"
"HAMILTON PT3 WD6"
"HAMILTON PT4 WD1"
"HAMILTON PT4 WD6"
"HAMILTON PT5 WD1"
"HAMILTON PT5 WD6"
"HAMILTON PT6 WD1"
"HAMILTON PT6 WD6"
"HAMILTON PT7 WD1"
"HAMILTON PT7 WD6"
"HAMILTON PT8 WD1"
"HAMILTON PT8 WD6"
"HAMILTON PT9 WD1"
"HANOVER VLG"
"HARRISVILLE A"
"HARTFORD"
"HEBRON VLG"
"HEMLOCK SHAWNEE SALTLICK"
"HENRIETTA"
"HILL 1 G"
"HILL 2 F"
"HOPEWELL EAST GLENFORD"
"HOPEWELL WEST"
"HUBER HEIGHTS 2 C"
"HUBER HEIGHTS 2 D"
"HUDSON 3 E"
"HUDSON 4 E"
"HUNTSBURG A1"
"HURON 1"
"HURON 2"
"HURON 3"
"IRONDALE"
"JEFFERSON NO"
"JEFFERSON SO"
"JEFFERSON STONECREEK"
"JOHNSTOWN VLG A"
"JOHNSTOWN VLG B"
"JOHNSTOWN VLG C"
"JUNCTION"
